(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0DJH1T1JC,B0BBPS53L3,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (24oz, 18 Count)",RC-PBL-118060,"7,227",110,0.15%,0.13%,"9,370",157,0.15%,0.14%,99.77%,100.00%,"4,797",56,66.38%,50.91%,"$226,433.82","$2,598.76","4,161",43
B0BWLP5NDS,B07L9VHPVF,MOVOFLEX Soft Chews Hip and Joint Support Supplement for Large Dogs - 120 Count By Virbac,RC-VB-062096-2pk,"11,394",214,0.24%,0.26%,"14,110",283,0.22%,0.26%,95.90%,92.78%,"4,098",60,35.97%,28.04%,"$556,146.42","$8,092.02","4,013",53
B0DJH1T1JC,B09NF8QT94,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Medium Dogs (12oz, 15 Count)",RC-PBL-115817,"11,819",173,0.25%,0.21%,"15,183",207,0.24%,0.19%,66.56%,64.96%,"4,108",41,34.76%,23.70%,"$99,785.52",$984.35,"3,660",36
B0BF1929R2,B0BBPS53L3,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Large Dogs (24oz, 18 Count)",RC-PBL-118060,"6,963",110,0.14%,0.13%,"10,397",148,0.16%,0.14%,99.44%,96.30%,"3,849",57,55.28%,51.82%,"$176,976.68","$2,620.52","3,328",32
B0CNVBGN53,B0CF7R8CGS,"Wrap Buddies Gift Wrap Cutter - Wrapping Paper Cutter for Seamless Cutting, Gifting Tool, Christmas Gadget, Multi-Purpose Cutting Tool, Crafting Scissors (Includes 6 Blades)",RB-WRA-PC01,"72,378","1,351",1.50%,1.66%,"87,167","1,665",1.35%,1.52%,99.69%,99.90%,"3,507",100,4.85%,7.40%,"$34,984.98",$999.00,"3,229",77
B0D92J4N4N,B00C8RJ3WE,"VetOne: DuoClenz Rawhide Dental Hygenic Chews for Extra Large-sized Dogs, 30-Count Bag",RC-V1-510060-1,"9,039",136,0.19%,0.17%,"12,780",199,0.20%,0.18%,48.58%,38.46%,"3,479",25,38.49%,18.38%,"$87,654.25",$630.75,"2,903",16
B0DJH1T1JC,B0BBPVC7XK,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Small Dogs (24oz, 96 Count)",RC-PBL-118064,"5,264",83,0.11%,0.10%,"6,770",114,0.11%,0.10%,99.07%,100.00%,"2,874",35,54.60%,42.17%,"$135,927.60","$1,664.44","2,734",34
B0D92J4N4N,B00S46RU8W,Vet One DuoClenz Enzyme Coated Dog Dental Chews for Large Dogs - Veterinarian Formulated - 30 Count,RC-V1-510059-1,"11,863",187,0.25%,0.23%,"17,978",278,0.28%,0.25%,34.56%,37.96%,"2,977",25,25.09%,13.37%,"$62,783.16",$527.25,"2,591",22
B00S46RU8W,B00S46RU8W,Vet One DuoClenz Enzyme Coated Dog Dental Chews for Large Dogs - Veterinarian Formulated - 30 Count,RC-V1-510059-1,"5,554",78,0.12%,0.10%,"7,811",103,0.12%,0.09%,47.88%,64.71%,"2,918",28,52.54%,35.90%,"$64,803.59",$625.30,"2,440",22
B0BWLP5NDS,B0CPHNSV71,Advanced Soft Chews Hip and Joint Support Supplement for Medium Dogs - Movoflex 120 Count by Virbac,RC-VB-118163-2pk,"8,230",257,0.17%,0.32%,"10,402",338,0.16%,0.31%,97.58%,97.64%,"2,400",46,29.16%,17.90%,"$293,648.08","$5,619.45","2,371",44
