(Parent) ASIN,(Child) ASIN,Title,SKU,Sessions - Total,Sessions - Total - B2B,Session Percentage - Total,Session Percentage - Total - B2B,Page Views - Total,Page Views - Total - B2B,Page Views Percentage - Total,Page Views Percentage - Total - B2B,Featured Offer (Buy Box) Percentage,Featured Offer (Buy Box) Percentage - B2B,Units Ordered,Units Ordered - B2B,Unit Session Percentage,Unit Session Percentage - B2B,Ordered Product Sales,Ordered Product Sales - B2B,Total Order Items,Total Order Items - B2B
B0BBJ8KYM6,B0BBJ8KYM6,"Kimberbell Embellishment Sweet As Pie Bench Pillow Kit: (15Pcs) Includes: Cork, String Leather, Felt, Flexi Foam, Vinyl, Pins, Pair with Bench Pillow Machine Embroidery Design KD5118",RB-KB-KDKB1265,684,8,0.01%,0.01%,849,10,0.01%,0.01%,58.68%,28.57%,36,0,5.26%,0.00%,"$1,167.10",$0.00,34,0
B0CC3Z79S8,B0C9S6F5QZ,"Nadri Clip-On Earrings for Women – Gold-Plated, Hypoallergenic, Emerald-Cut Cubic Zirconia",RB-NAD-AL41678GCZ,"3,907",62,0.08%,0.08%,"5,029",72,0.08%,0.07%,98.78%,84.00%,34,0,0.87%,0.00%,"$2,210.00",$0.00,34,0
B0DG9Z5G4T,B0DG9Z5G4T,"Sea Foam High Mileage Motor Treatment Gas & Oil Additive, HM16, 16 oz, Pack of 6",RB-SEA-HM16-6,960,37,0.02%,0.05%,"1,275",56,0.02%,0.05%,97.94%,100.00%,36,5,3.75%,13.51%,"$3,060.00",$425.00,34,4
B0F14SWHZ1,B0DGB4SK7B,"Sea Foam Truck & SUV Motor Treatment Fuel & Oil Additive, ST20, 20 oz, Pack of 6",RB-SEA-ST20-6,918,42,0.02%,0.05%,"1,117",50,0.02%,0.05%,98.76%,100.00%,36,5,3.92%,11.90%,"$3,348.00",$465.00,34,4
B0F2TP8DML,B0DVMK7SKJ,"Virbac URSOLYX Soft Chews for Dogs | Muscle Health Support for Senior, Active or Recovering Dogs, Large | 60 Count 2- Month Supply",RB-VB-125909,218,14,0.00%,0.02%,306,22,0.00%,0.02%,93.42%,100.00%,36,0,16.51%,0.00%,"$2,753.64",$0.00,34,0
B0B5M3R9TB,B06XBG9NC1,VetOne - CrossBlock II Kills & Prevents Fleas on Dogs & Puppies (11-20 Lbs),RC-V1-620109,368,5,0.01%,0.01%,540,5,0.01%,0.00%,98.33%,100.00%,41,0,11.14%,0.00%,$818.77,$0.00,33,0
B07525YD4C,B07525YD4C,"Kimberbell Christmas Themed Quilt Pattern - Jingle All the Way Embroidery Machine Design Book, Embroidery Hoop Sizes 4x4, 5x7, 6x10, 8x12, Completed Size: 38x38"", Christmas Embroidery Kit",RB-KB-KD801,"2,480",30,0.05%,0.04%,"3,291",36,0.05%,0.03%,99.96%,100.00%,33,1,1.33%,3.33%,"$2,804.34",$84.98,33,1
B0CNDDZ92T,B085SLZPC7,"SOLSTICE Inflatable Dog Water Ramp, Pup Plank XL Ladder Float for Pools & Lakes, Yellow/Gray",RC-SOL-033248,"4,418",59,0.09%,0.07%,"5,535",77,0.09%,0.07%,88.12%,91.89%,33,1,0.75%,1.69%,"$7,425.00",$225.00,33,1
B0BSJ2V5CL,B0BSJ2V5CL,"Kimberbell Pretty & Posh Zipper Pouches Machine Embroidery Design CD, Includes: Directions, 4 Unique Bag Designs - 3 Sizes Each, Hoop Sizes: 5x7, 6x10, & 8x12 Made in USA",RB-KB-KD5122,"1,425",17,0.03%,0.02%,"1,789",21,0.03%,0.02%,96.51%,90.00%,33,0,2.32%,0.00%,"$1,470.84",$0.00,33,0
B0BVKTHN1H,B0BVN235ZM,"NADRI Necklace For Women - Plated Rhodium Bridal Necklace, Wedding Jewelry, Necklace for Bridesmaid Proposal Gifts, Hypoallergenic Necklace for Women",RB-NAD-AN41519RCZ,"1,488",20,0.03%,0.02%,"2,078",27,0.03%,0.02%,99.11%,100.00%,33,1,2.22%,5.00%,"$3,223.19",$98.00,33,1
B07Q2RK1H7,B07Q2RK1H7,"White Knight 3800L6 Six Spline Key Adapter for M14 and 9/16"" Thread 6 Spline Lug Nuts - Fits 13/16"" & 7/8"" Hex Wrench",RB-WK-3800L6-1,148,11,0.00%,0.01%,198,13,0.00%,0.01%,95.45%,92.31%,33,3,22.30%,27.27%,$313.17,$28.47,32,3
B0D2YGPXH7,B09TFTWJNT,"SOLSTICE Inflatable Dock, Hexagon Floating Mesh Platform 8ft x 6in w/Pump, Multicolor",RC-SOL-038150,"3,604",107,0.07%,0.13%,"4,542",142,0.07%,0.13%,92.83%,94.52%,32,1,0.89%,0.93%,"$19,520.00",$610.00,32,1
B0C91T368T,B0BRNZP694,"OMG Nicole Luxurious Ultra Soft Minky Blanket, Snowy Owl in Basil, 60x72"" Super Soft Fluffy Throw, Throw Blanket for Couch, Bed, Sofa, Premium Quality Handmade in the USA",RB-SS-N-01001,"3,816",59,0.08%,0.07%,"4,960",72,0.08%,0.07%,99.11%,100.00%,32,2,0.84%,3.39%,"$5,437.64",$337.94,32,2
B0BVKTHN1H,B0BVN2C2SH,Nadri Pendant Necklace For Women - Bridal Gifts and Wedding Jewelry - Unique Jewelry - Cubic Zirconia Necklaces for Women,RB-NAD-AN41519GCZ,"1,603",15,0.03%,0.02%,"2,071",19,0.03%,0.02%,98.50%,100.00%,32,0,2.00%,0.00%,"$2,545.88",$0.00,32,0
B0CRVGWX6S,B0C9RLWBZM,Nadri Clip On Earrings for Women - Rhodium Plated Cubic Zirconia Earring Studs for Women - Christmas Gifts and Holiday Jewelry,RB-NAD-AL41671RCZ,"1,191",11,0.02%,0.01%,"1,464",13,0.02%,0.01%,96.26%,100.00%,32,0,2.69%,0.00%,"$1,760.00",$0.00,32,0
B0CC7VJKZP,B0CC7VJKZP,"Kimberbell Fall/Winter Embroidery Felt Pack – 11 Assorted 9x12” Nonwoven Felt Sheets for Sewing, Crafts, Embroidery Supplies, Craft Kit for Sewing Projects",RB-KB-KDKB1284,"1,174",17,0.02%,0.02%,"1,574",22,0.02%,0.02%,100.00%,100.00%,33,1,2.81%,5.88%,$824.34,$24.98,32,1
B0CVMDBM9T,B0CVMDBM9T,"Kimberbell Quilting Through The Seasons Embellishment Kit – 44 Assorted Pieces for 20x60 Ladder Quilt, Includes Buttons, Felts, Leathers, Cork, Vinyl & More (Book/CD Sold Separately)",RB-KB-KDKB1290,509,9,0.01%,0.01%,633,11,0.01%,0.01%,98.66%,88.89%,32,0,6.29%,0.00%,"$1,599.36",$0.00,32,0
B0D2B1W32Y,B0D1DMM6P7,"NADRI RSVP Hoop Earrings 18k Gold Plated - 18k Plated Gold Dangle Earrings, 18k Plated Gold Dangle Earrings for Bride, Wedding Earrings, Wedding Jewelry",RB-NAD-HO40884GCZ,"1,095",22,0.02%,0.03%,"1,498",28,0.02%,0.03%,99.46%,100.00%,32,0,2.92%,0.00%,"$2,550.00",$0.00,32,0
B07VRQRK2W,B01MQJYZZP,"Canine Caviar - Salmon Canned Wet Dog Food, Single Protein Formula, Alkaline Food Topper, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (12.7 oz, 12-Pack)",RB-CAN-226163,151,6,0.00%,0.01%,199,8,0.00%,0.01%,96.22%,100.00%,32,1,21.19%,16.67%,"$2,046.02",$62.95,31,1
B084WCTFZK,B084WCTFZK,"vetone - Advita CritterCups 3-in-1 Chicken Flavored Probiotic, Treat & Pill Masking Agent for Large Dogs (30 Count)",RC-V1-510258,481,18,0.01%,0.02%,618,25,0.01%,0.02%,54.41%,47.06%,41,0,8.52%,0.00%,$881.37,$0.00,31,0
B08TX7KLZ9,B09WT3MCF8,"Kimberbell Embellishment Kit Two Scoops (19 Pcs): Includes Beads & Personalized Buttons, Mylar, Applique Glitter, Vinyl, Felt (Variety of Colors), Pair with Machine Embroidery Pillow Design",RB-KB-KDKB1262,"1,217",12,0.03%,0.01%,"1,462",13,0.02%,0.01%,96.13%,100.00%,32,0,2.63%,0.00%,"$1,232.15",$0.00,31,0
B0CBL1XZVP,B0C9RNWT9J,Nadri 18k-Gold-Plated Heart Earrings - Heart Stud Earrings for Women With Cubic Zirconia Stones - Women's Jewelry - Bridesmaid Proposal Gifts - Wedding Jewelry,RB-NAD-AO36354GCZ,"1,620",27,0.03%,0.03%,"2,210",33,0.03%,0.03%,99.68%,93.75%,31,0,1.91%,0.00%,"$1,735.00",$0.00,31,0
B0CBD1VWKC,B0C9SLBNLJ,Nadri 18k-Gold-Plated Cross Necklace - Cross Necklace for Women - Gold Jewelry for Women - Dainty Pendant,RB-NAD-AP16310GCZ-MB,"1,469",24,0.03%,0.03%,"2,082",36,0.03%,0.03%,96.27%,91.30%,31,0,2.11%,0.00%,"$2,015.00",$0.00,31,0
B0CC7FZHJV,B0CC7FZHJV,"Kimberbell Falling for Autumn Quilt - Machine Embroidery Design CD & Book, Completed Size: 40 x 40” + 3 Bonus Projects, Step-By-Step Instructions Beginners to Advanced, Hoop Sizes: 4x4, 5x7, 6x10 &",RB-KB-KD814,"2,183",22,0.05%,0.03%,"2,842",28,0.04%,0.03%,99.96%,100.00%,31,0,1.42%,0.00%,"$2,256.88",$0.00,31,0
B0C44VN57Z,B0CF2YV34X,"Biovanta Cough Drops, Elderberry with Cooling Mint, Throat Lozenges, Natural Immune Support, 24 Sugar-Free Lozenges, Sore Throat, Respiratory Defense",RB-BIO-Elderberry,567,8,0.01%,0.01%,789,10,0.01%,0.01%,35.83%,40.00%,31,0,5.47%,0.00%,$402.69,$0.00,31,0
B0CKJSMHFC,B0CKJSMHFC,"Kimberbell Nativity Stuffies - Nativity Scene Decor, Nativity Sets for Christmas Indoor, DIY Nativity Scene, Embroidery Patterns for Quilting, Embroidery CD Template",RB-KB-KD5129,774,15,0.02%,0.02%,975,17,0.02%,0.02%,98.23%,100.00%,31,1,4.01%,6.67%,"$1,367.38",$44.98,31,1
B0DTVPRPGL,B0DG9Z5G4T,"Sea Foam High Mileage Motor Treatment Gas & Oil Additive, HM16, 16 oz, Pack of 6",RB-SEA-HM16-6,"1,393",52,0.03%,0.06%,"1,998",64,0.03%,0.06%,98.37%,100.00%,31,1,2.23%,1.92%,"$2,635.00",$85.00,31,1
B0F4287P75,B0DVMVSCYB,"Virbac URSOLYX Soft Chews for Dogs | Muscle Health Support for Senior, Active or Recovering Dogs, Small | 60 Count 2- Month Supply",RB-VB-125907,382,9,0.01%,0.01%,577,13,0.01%,0.01%,94.34%,100.00%,32,1,8.38%,11.11%,"$1,839.68",$57.49,31,1
B0CV797VLB,B0018CG14S,"Canine Caviar - Turkey Canned Wet Dog Food, Single Protein Formula, Alkaline Food Topper, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (12.7 oz, 12-Pack)",RB-CAN-222134,196,4,0.00%,0.00%,257,6,0.00%,0.01%,71.67%,100.00%,33,0,16.84%,0.00%,"$2,145.01",$0.00,30,0
B0C54K6N9G,B0055E9WXW,"Canine Caviar Buffalo Jerky Dog Treats Dog Buffalo Tails Jerky Treats, Chewy Dog Treats for Large Dog, Medium Dog or Small Dog, Healthy Dog Treats - Buffalo Tails 6in (6 Piece)",RB-CAN-810997,245,12,0.01%,0.01%,304,14,0.00%,0.01%,62.70%,81.82%,45,0,18.37%,0.00%,$384.53,$0.00,30,0
B0CV797VLB,B01MTOFE7J,"Canine Caviar - Lamb Canned Wet Dog Food, Single Protein Formula, Alkaline Food Topper, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (12.7 oz, 12-Pack)",RB-CAN-226156,190,4,0.00%,0.00%,251,9,0.00%,0.01%,86.81%,100.00%,33,1,17.37%,25.00%,"$2,348.99",$69.95,30,1
B07751XWPH,B07751XWPH,"Kimberbell Hello Sunshine Quilt Design - Machine Embroidery Design CD & Book, Completed Size: 52x67” with 6 Bonus Projects for Home Decor, Hoop Sizes: 4x4, 5x7, 6x10”",RB-KB-KD802,"2,427",25,0.05%,0.03%,"3,458",33,0.05%,0.03%,98.65%,100.00%,30,0,1.24%,0.00%,"$2,472.90",$0.00,30,0
B08XXHRPXG,B0812D9VF7,"Kimberbell Embroidery Machine Christmas Pillows - ""Ginger's Kitchen"" Bench Pillow Template for Christmas Decorations, Machine Embroidery Winter Decor, Arts & Crafts Embroidery Patterns on CD",RB-KB-KD586,"1,650",27,0.03%,0.03%,"2,041",35,0.03%,0.03%,99.24%,92.86%,30,0,1.82%,0.00%,"$1,167.40",$0.00,30,0
B084CZLWM5,B084CZLWM5,"Kimberbell Vintage Boardwalk Quilt Pattern - Vintage Boardwalk Embroidery Machine Design CD & Book, Embroidery Hoop Sizes 5x7, 6x10 & 8x12”, Completed Size: 44 x 60”, Vintage Decor and Beach Decor",RB-KB-KD807,"2,601",26,0.05%,0.03%,"3,451",33,0.05%,0.03%,95.78%,88.89%,30,0,1.15%,0.00%,"$2,406.97",$0.00,30,0
B0D1RKB72B,B0D1DZL18V,"NADRI Wedding Earrings - RSVP CZ Cluster Earrings, 3/4in x 3/4 in, Bridal Earrings, Formal Earrings, Rhodium Earrings for Bride and Bridesmaids, Maid-of-Honor Jewelry",RB-NAD-HO40881GCZ,"1,011",20,0.02%,0.02%,"1,327",26,0.02%,0.02%,99.33%,100.00%,30,0,2.97%,0.00%,"$1,750.00",$0.00,30,0
B00B2FCIX4,B00B2FCIX4,"White Knight 791307-1SAM Chrome Lugnuts, M12x1.5 Lug Nuts, Open End Bulge Acorn 12x1.5 Lug Nuts Kit with Wheel Locks for Cars (Pack of 20)",RB-WHT-791307-1SAM,550,13,0.01%,0.02%,796,19,0.01%,0.02%,97.74%,78.95%,29,0,5.27%,0.00%,$579.71,$0.00,29,0
B07WW1YCRN,B07WW1YCRN,"White Knight 1/2""-20 Thread Lug Nuts for Aftermarket or Factory Wheels - 20 Chrome Black Lug Nuts - Bulge Acorn Seating - Carbon Steel for Durable Construction & Easy Installation - 1704SBK-20AM",RB-WK-1704SBK-20AM,904,24,0.02%,0.03%,"1,265",28,0.02%,0.03%,27.65%,28.57%,41,11,4.54%,45.83%,$942.59,$252.89,29,2
B0DBNRG7TZ,B09C6GCB6Y,"Kimberbell Wash-Away Topping 12"" x 10 yd - Ultra Lightweight, Leaves No Residue, Dissolves Quickly in Cool Water",RB-KB-KDST133,929,33,0.02%,0.04%,"1,203",49,0.02%,0.04%,98.85%,100.00%,29,0,3.12%,0.00%,$769.44,$0.00,29,0
B0BVKTZ47G,B0BY9MZBW5,Nadri Drop Earrings For Women - Rhodium Plated Dangle Earrings for Women - Bridal Gifts and Wedding Jewelry - Hypoallergenic Jewelry,RB-NAD-AO41513RCZ,"1,805",16,0.04%,0.02%,"3,395",35,0.05%,0.03%,99.43%,100.00%,30,0,1.66%,0.00%,"$2,110.08",$0.00,29,0
B0D1YRBWLN,B0D1DQMKX5,"NADRI RSVP CZ Linear Rhodium Plated Earrings - Bride Earrings, Bridal Earrings for Wedding, Wedding Earrings, Wedding Jewels, Earrings for Bridesmaid",RB-NAD-HV40883RCZ,646,12,0.01%,0.01%,843,13,0.01%,0.01%,99.73%,100.00%,29,0,4.49%,0.00%,"$1,380.00",$0.00,29,0
B0058B5TU2,B0045Y1JG6,"KONG - Cloud Collar - Plush, Inflatable E-Collar - For Injuries, Rashes and Post Surgery Recovery - For Medium Dogs/Cats",RC-KVP-049358,"3,549",36,0.07%,0.04%,"4,554",45,0.07%,0.04%,9.99%,7.50%,28,0,0.79%,0.00%,$517.94,$0.00,28,0
B0CQ2F2YDS,B088CSNQKR,Canine Caviar Dried Sweet Potato Dog Treats,RB-CAN-120157,129,3,0.00%,0.00%,162,3,0.00%,0.00%,88.89%,100.00%,34,0,26.36%,0.00%,"$1,232.98",$0.00,28,0
B0947CY8V5,B093XBK7V7,"Kimberbell Wash Away - Water Soluble Machine Embroidery Stabilizer, 20x10 Yd Roll - Washes Out Completely Leaving No Residue - Sewing, Quilting, Piecing Projects, Appliques, Lace, Crafting & More!",RB-KB-KDST121,685,11,0.01%,0.01%,904,13,0.01%,0.01%,86.25%,100.00%,31,0,4.53%,0.00%,$960.38,$0.00,28,0
B0D1YRBWLN,B0D1DB3FGN,Nadri RSVP CZ 18k-Gold-Plated Dangle Earrings - Bridal Earrings for Wedding - Bridal Jewelry and Wedding Gifts - Hypoallergenic Jewelry,RB-NAD-HV40883GCZ,"1,526",20,0.03%,0.02%,"2,094",28,0.03%,0.03%,100.00%,100.00%,28,0,1.83%,0.00%,"$1,725.00",$0.00,28,0
B0D87NTGH3,B0D692ZW9X,"Yummy Combs Dog Dental Treats – Vet VOHC Approved – Delicious Chicken Protein – Removes Tartar with Cleaning Comb Shape – Dental Dog Treats for Extra Large Dogs (36oz, 18 Count)",RB-PBL-124253,358,3,0.01%,0.00%,442,4,0.01%,0.00%,97.50%,100.00%,31,0,8.66%,0.00%,"$2,053.75",$0.00,28,0
B0DNSBPZK9,B0DG9X3T2G,"Sea Foam Spray Engine Intake Valve Cleaner, SS14, 14 oz, Pack of 6",RB-SEA-SS14-6,"2,603",119,0.05%,0.15%,"3,177",144,0.05%,0.13%,97.36%,100.00%,29,10,1.11%,8.40%,"$2,436.00",$840.00,28,9
B00LFNH69E,B00LFNH69E,"AniMed Powder 99.9-Percent Ammonium Chloride for Horses Dogs Cats Cows Sheep and Goats, 2.5-Pound…",RB-ANI-053323M,"2,386",67,0.05%,0.08%,"3,049",85,0.05%,0.08%,7.84%,9.41%,28,1,1.17%,1.49%,$614.32,$21.94,27,1
B00S46RU8W,B00S46RU8W,Vet One DuoClenz Enzyme Coated Dog Dental Chews for Large Dogs - Veterinarian Formulated - 30 Count,RC-V1-510059,"5,554",78,0.12%,0.10%,"7,811",103,0.12%,0.09%,47.88%,64.71%,34,0,0.61%,0.00%,$746.98,$0.00,27,0
B0CXDTXYCB,B08PQ4FX73,"Biovanta Natural Ingredients Sugar-Free Lozenges for Cough, Cold and Sore Throat, 24 Lemon Honey Throat Lozenges",RB-BIO-Lemon and Honey Lozenges,391,14,0.01%,0.02%,528,22,0.01%,0.02%,28.23%,37.50%,37,1,9.46%,7.14%,$240.50,$6.50,27,1
B09CS4XS8Y,B09CS4XS8Y,"Kimberbell Halloween Quilt Embroidery Machine Design - Candy Corn Quilt Shoppe Machine Embroidery Pattern CD & Book, Embroidery Hoop Sizes: 4x4, 5x7, 6x10 & 8x12,"" Halloween Decorations and Fall Decor",RB-KB-KD810,"1,882",16,0.04%,0.02%,"2,484",23,0.04%,0.02%,96.04%,100.00%,27,0,1.43%,0.00%,"$2,013.21",$0.00,27,0
B0CV1V2TY9,B0C4QT5B2W,"Short Sleeve Golf Rain Jacket - Three Layer Short Sleeve Lightweight, Breathable, All Weather Jacket for Men",RB-GAL-2213LJ002-SL-L,"1,032",21,0.02%,0.03%,"1,340",32,0.02%,0.03%,99.67%,100.00%,27,0,2.62%,0.00%,"$4,327.65",$0.00,27,0
B0CV1XXCPR,B0C8XJSB17,"All-Weather Men's Golf Pants - Chino Style Golf Pants Men Will Love, Waterproof Breathable Golf Pants for Men Gray",RB-GAL-2313LP002- UG-34X32,392,8,0.01%,0.01%,541,10,0.01%,0.01%,99.08%,100.00%,27,0,6.89%,0.00%,"$3,036.90",$0.00,27,0
B0CBQL1JC5,B0CB9GD5DL,ZENIDOG Long-Acting Collar-Dog Calming Pheromone Collar for Stress Relief - Lasts up to 3 Months by Virbac,RB-VIR-119327,"2,924",48,0.06%,0.06%,"3,821",57,0.06%,0.05%,73.94%,73.68%,30,0,1.03%,0.00%,"$1,197.12",$0.00,27,0
B0CQ2F2YDS,B0CP2JSJ6V,"Canine Caviar Healthy Dog Treats - Purple Sweet Potato Dog Treats, Rawhide Free and Gluten Free Dog Training Treats for All Breeds and Sizes, 12 oz.",RB-CAN-120232,174,2,0.00%,0.00%,207,2,0.00%,0.00%,92.13%,100.00%,30,2,17.24%,100.00%,$579.10,$39.94,27,1
B0D2B1W32Y,B0D1DYKYL1,"NADRI RSVP Hoop Earrings Rhodium - Bride Earrings, Bridal Earrings for Wedding, Wedding Earrings, Wedding Jewels, Dangle Earrings for Bridesmaid",RB-NAD-HO40884RCZ,719,16,0.01%,0.02%,910,22,0.01%,0.02%,99.63%,100.00%,27,0,3.76%,0.00%,"$1,950.00",$0.00,27,0
B0F148Z7Y8,B0DG9Z5G4T,"Sea Foam High Mileage Motor Treatment Gas & Oil Additive, HM16, 16 oz, Pack of 6",RB-SEA-HM16-6,624,29,0.01%,0.04%,859,36,0.01%,0.03%,98.53%,100.00%,27,2,4.33%,6.90%,"$2,295.00",$170.00,27,2
B0DJH1T1JC,B0DGB5SFR4,"Yummy Combs Dog Dental Treats – Vet VOHC Approved, Removes Tartar & Cleans Teeth – Yummy High Protein Chicken Treat for Extra Small Dogs (Mini Pack, 30 Count)",RC-PBL-1020030XS,"2,347",36,0.05%,0.04%,"2,929",46,0.05%,0.04%,99.68%,100.00%,27,0,1.15%,0.00%,$529.43,$0.00,27,0
B0D97QSJ2H,B085SLNG34,"Solstice 10 Foot x 8 Foot Inflatable Convertible Floating Slide Dock Water Lounger Platform with Pump and Storage Bag for Lakes, Pools, and Rivers",RC-SOL-036108,"5,211",134,0.11%,0.16%,"6,422",169,0.10%,0.15%,97.14%,84.44%,26,1,0.50%,0.75%,"$18,822.00",$699.00,26,1
B09RCTZXFH,B09RCTZXFH,"Vet One CritterCups Dog Pill Pocket - CritterCups by Advita, Pill Pockets for Dogs, Probiotic Treats, Bacon Flavored, Small & Medium Dogs",RC-V1-510256,277,9,0.01%,0.01%,375,10,0.01%,0.01%,97.67%,100.00%,31,0,11.19%,0.00%,$396.03,$0.00,26,0
B0CC3Z79S8,B0C9RL6H3J,"NADRI Gold Round Cut Clip-On Earring - Exquisite, Hypoallergenic, Lightweight, Lever Back Earrings for Women with Cubic Zirconia",RB-NAD-AL41675GCZ,"2,951",42,0.06%,0.05%,"3,639",50,0.06%,0.05%,97.80%,75.76%,26,0,0.88%,0.00%,"$1,690.00",$0.00,26,0
B09L7DXKN6,B00DNPH3AY,"White Knight 7802-4 Chrome 7/16""-20 ET Bulge Lug Nut, 4 Pack",RB-WK-7802-4,246,11,0.01%,0.01%,408,12,0.01%,0.01%,99.01%,100.00%,59,0,23.98%,0.00%,$795.91,$0.00,25,0
B08HVWPKXL,B08HVWPKXL,"Kimberbell Noel’s Quilted Stockings Machine Embroidery CD, Includes: Step-by-Step Instructions, 4 Designs in 4 Sizes, 9 Embroidery Formats, for 5”x7” Hoop, Finished Sizes: 5x7, 6x10, 8x12, 9x14",RB-KB-KD593,"2,053",29,0.04%,0.04%,"2,603",37,0.04%,0.03%,99.51%,100.00%,25,0,1.22%,0.00%,$899.50,$0.00,25,0
B0CV1XXCPR,B0C4RMHDP8,"Galway Bay All-Weather Men's Golf Pants - Chino Style Golf Pants Men are Sure to Love, Waterproof Pants for Men, Breathable High Stretch Golf Pants for Men, Rain Pants for Golf Slate Blue",RB-GAL-GB1451SL-32x32,694,14,0.01%,0.02%,918,14,0.01%,0.01%,99.11%,100.00%,25,1,3.60%,7.14%,"$2,726.85",$159.00,25,1
B0CRVGWX6S,B0C9RH9GF6,"Nadri Clip On Earrings for Women - Gold Plated Cubic Zirconia Earring Studs for Women, Christmas Gifts, Holiday Jewelry",RB-NAD-AL41669GCZ,"4,096",46,0.09%,0.06%,"5,621",60,0.09%,0.05%,95.04%,68.75%,26,0,0.63%,0.00%,"$1,430.00",$0.00,25,0
B0CRVGWX6S,B0C9RLZRP6,"Nadri Clip On Earrings for Women - Gold Plated Cubic Zirconia Earring Studs for Women, Christmas Gifts, Holiday Jewelry, Hypoallergenic Jewelry",RB-NAD-AL41671GCZ,972,13,0.02%,0.02%,"1,173",14,0.02%,0.01%,94.55%,87.50%,25,0,2.57%,0.00%,"$1,375.00",$0.00,25,0
B0D7XG7RGX,B0D7WDHG3V,"Kimberbell Pumpkins & Potions Ladder Quilt - Machine Embroidery Design CD, Quilting, Embroidery Patterns, Halloween Designs",RB-KB-KD817,224,6,0.00%,0.01%,471,9,0.01%,0.01%,80.66%,100.00%,25,0,11.16%,0.00%,"$1,609.54",$0.00,25,0
B0DK7RYCFC,B0DH6HB9K4,"Yummy Combs Dog Dental Treats – Fish & Egg Protein – Vet VOHC Approved, Removes Tartar – A Daily Teeth Cleaning Treat for Extra Small Dogs (30 Count)",RC-PBL-125553,236,2,0.00%,0.00%,310,2,0.00%,0.00%,96.80%,100.00%,25,0,10.59%,0.00%,$679.75,$0.00,25,0
B0DH8ZHQL5,B0DJPRT4TR,"Nadri Santa Pin - Christmas Brooch Pins for Women, Xmas Brooches Set Festive Holiday Ornaments Party Gift Costume Jewelry Set",RB-NAD-HH40437EMW,"1,611",21,0.03%,0.03%,"2,177",31,0.03%,0.03%,99.95%,100.00%,25,0,1.55%,0.00%,"$2,200.00",$0.00,25,0
B000HHQEGK,B000HHQEGK,ANIMED ANIPRIN F EQ Aspirin 5# 90015…,RB-ANI-119651M,417,9,0.01%,0.01%,572,10,0.01%,0.01%,65.19%,80.00%,28,2,6.71%,22.22%,"$1,650.52",$115.14,24,2
B0D89DHC32,B00C8RJ30Q,Vet One DuoClenz EnzymeCoated Dog Dental Hygiene Chews for Small Dogs - Clean Teeth & Freshen Breath - 30 Count,RC-V1-510057-1,35,1,0.00%,0.00%,61,1,0.00%,0.00%,69.09%,0.00%,28,0,80.00%,0.00%,$430.22,$0.00,24,0
B09TG2B8NJ,B00DNPGOX6,"White Knight 5307L-4 Chrome M12 x 1.50 Factory Style Long Mag (1.87"" Height) Lug Nut with Washer for Toyota and Lexus, 4 Pack",RB-WK-5307L-4,331,2,0.01%,0.00%,451,3,0.01%,0.00%,99.78%,100.00%,31,0,9.37%,0.00%,$523.59,$0.00,24,0
B00U1BZWFQ,B00U1BZWFQ,"Canine Caviar - Open Meadow: Lamb & Pearl Millet Alkaline Dry Dog Food, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (11 Pound Bag)",RC-CAN-801018,296,12,0.01%,0.01%,381,13,0.01%,0.01%,31.05%,16.67%,30,0,10.14%,0.00%,"$1,523.68",$0.00,24,0
B08226P1N1,B08226P1N1,Advita Paste for Pets (15g Tube),RC-V1-510072,642,17,0.01%,0.02%,875,26,0.01%,0.02%,9.77%,9.09%,32,0,4.98%,0.00%,$481.68,$0.00,24,0
B0D1FW1S9H,B093XVHZBK,"Kimberbell Silky Soft Fusible Backing Specialty Stabilizer Light Weight - 12”x5 Yd Roll, Cut into Variable Sizes, for Machine Embroidery, Hand Sewing, Quilting, Piecing Projects, Appliqués, Crafting",RB-KB-KDST125,658,15,0.01%,0.02%,911,17,0.01%,0.02%,99.73%,100.00%,25,0,3.80%,0.00%,$499.50,$0.00,24,0
B0DTVPRPGL,B0DGB4SK7B,"Sea Foam Truck & SUV Motor Treatment Fuel & Oil Additive, ST20, 20 oz, Pack of 6",RB-SEA-ST20-6,"1,194",71,0.02%,0.09%,"1,539",91,0.02%,0.08%,98.08%,97.78%,26,7,2.18%,9.86%,"$2,418.00",$651.00,24,7
B0DLHGQ1C3,B0DJPW2TM5,NADRI Christmas Earrings Set for Women - Santa Earrings with Snowflake Earrings - Christmas Earrings for Women - Earrings -Holiday Earrings,RB-NAD-HD40534GMW,473,6,0.01%,0.01%,614,6,0.01%,0.01%,100.00%,100.00%,24,0,5.07%,0.00%,$520.00,$0.00,24,0
B0CV797VLB,B01MQJYZZP,"Canine Caviar - Salmon Canned Wet Dog Food, Single Protein Formula, Alkaline Food Topper, Limited Ingredients, Gluten-Free, Based on Science & Research, Veterinary Alternative Diet (12.7 oz, 12-Pack)",RB-CAN-226163,113,2,0.00%,0.00%,141,2,0.00%,0.00%,71.43%,100.00%,25,1,22.12%,50.00%,"$1,610.23",$62.95,23,1
